NAME,room type,price,review rate,house_rule,city,latitude,longitude
스위스그랜드호텔(구 그랜드힐튼호텔) 전기차충전소,호텔,0,4.1,,서울 송파구,37.5140396,127.1065213
마이스윗서울,전기차 충전소,0,4.2,"주차장없음,반려견동반,예약가능,포장가능,배달가능",서울 서대문구,37.5793101,126.9335731
스타리아호스텔,카페,0,5,,서울 성북구,37.5065277,127.0822373
스탠포드호텔 명동,게스트하우스,0,4.1,"휠체어사용,배달가능,와이파이",서울 중구,37.5584974,126.9861758
스테이256,호텔,0,5,,서울 중구,37.5820411,126.887077
스테이넉넉,게스트하우스,0,4,,서울 종로구,37.5830669,126.9809319
스페이스휴,펜션,0,3.6,,서울 동대문구,37.5772545,127.0268868
신영모텔,"빌라,주택",0,2.3,,서울 관악구,37.5063324,127.1218722
써미트호텔 로터스커피,"여관,모텔",0,4,"예약가능,포장가능",서울 영등포구,37.5183415,126.906708
CS에비뉴호텔,커피전문점,0,4.2,,서울 중구,37.5680753,127.0091046
CL호텔,호텔,0,2.6,,서울 은평구,37.5990939,126.9364056
아담한옥,"여관,모텔",0,4,,서울 강서구,37.5284315,126.8438911
호텔아르고,한옥숙소,0,2.6,,서울 종로구,37.5812218,126.9686876
아름다운황토집,"여관,모텔",0,5,,서울 강동구,37.5247975,127.1457171
아리랑힐호텔 동대문,게스트하우스,0,4.5,,서울 은평구,37.6259072,126.9211393
명동아리하우스,호텔,0,5,,서울 성북구,37.5935757,127.0165735
아만티호텔서울,게스트하우스,0,3.7,"주차가능,휠체어사용,와이파이",서울 중구,37.5605946,126.9864383
아모렉스관광호텔,호텔,0,1.9,,서울 마포구,37.567488,126.9095194
아임그린게스트하우스,호텔,0,5,,서울 성동구,37.5639159,127.0354744
안테룸 서울 주차장,게스트하우스,0,4.2,,서울 성북구,37.5923864,126.9930074
야코리아호스텔 강남점,주차장,0,4.1,,서울 강남구,37.5190242,127.026117
업플로 서초,숙박,0,5,,서울 강남구,37.5045345,127.0437906
SR 호텔 마곡,유스호스텔,0,2.9,주차가능,서울 서초구,37.4931569,127.0174599
H에비뉴호텔 건대점,호텔,0,2.6,,서울 강서구,37.561109,126.8394918
H에비뉴 성신여대점,호텔,0,3.9,,서울 광진구,37.5474021,127.0674375
엔트라호텔 테이블마운틴,호텔,0,1.3,,서울 성북구,37.5923769,127.0144504
연당,"스테이크,립",0,4,,서울 강남구,37.5240175,127.0484645
영빈호텔,골동품,0,3.3,주차가능,서울 동대문구,37.5826381,126.9872194
